foodId,foodName,calories,protein,fat,carbs,category
01001_0001,アマランサス玄穀,343,12.7,6,64.9,01
01002_0002,あわ精白粒,346,11.2,4.4,69.7,01
01003_0003,あわあわもち,210,5.1,1.3,45.3,01
01004_0004,えんばくオートミール,350,13.7,5.7,69.1,01
01005_0005,おおむぎ七分つき押麦,343,10.9,2.1,72.1,01
01006_0006,おおむぎ押麦乾,329,6.7,1.5,78.3,01
01170_0007,おおむぎ押麦めし,118,2.2,0.5,28.5,01
01007_0008,おおむぎ米粒麦,333,7,2.1,76.2,01
01008_0009,おおむぎ大麦めん乾,343,12.9,1.7,68,01
01009_0010,おおむぎ大麦めんゆで,121,4.8,0.6,24.3,01
01010_0011,おおむぎ麦こがし,368,12.5,5,77.1,01
01167_0012,キヌア玄穀,344,13.4,3.2,69,01
01011_0013,きび精白粒,353,11.3,3.3,70.9,01
01012_0014,こむぎ［玄穀］国産普通,329,10.8,3.1,72.1,01
01013_0015,こむぎ［玄穀］輸入軟質,344,10.1,3.3,75.2,01
01014_0016,こむぎ［玄穀］輸入硬質,332,13,3,69.4,01
01015_0017,こむぎ［小麦粉］薄力粉1等,349,8.3,1.5,75.8,01
01016_0018,こむぎ［小麦粉］薄力粉2等,345,9.3,1.9,74.3,01
01018_0019,こむぎ［小麦粉］中力粉1等,337,9,1.6,75.1,01
01019_0020,こむぎ［小麦粉］中力粉2等,346,9.7,1.8,74,01
01020_0021,こむぎ［小麦粉］強力粉1等,337,11.8,1.5,71.7,01
01021_0022,こむぎ［小麦粉］強力粉2等,343,12.6,1.7,70.6,01
01023_0023,こむぎ［小麦粉］強力粉全粒粉,320,12.8,2.9,68.2,01
01146_0024,こむぎ［小麦粉］プレミックス粉お好み焼き用,335,10.1,1.9,73.6,01
01024_0025,こむぎ［小麦粉］プレミックス粉ホットケーキ用,360,7.8,4,74.4,01
01147_0026,こむぎ［小麦粉］プレミックス粉から揚げ用,311,10.2,1.2,70,01
01025_0027,こむぎ［小麦粉］プレミックス粉天ぷら用,337,8.8,1.3,76.1,01
01171_0028,こむぎ［小麦粉］プレミックス粉天ぷら用バッター,132,3.3,0.5,30.2,01
01172_0029,こむぎ［小麦粉］プレミックス粉天ぷら用バッター揚げ,588,4.3,47.7,37,01
01026_0030,こむぎ［パン類］角形食パン食パン,248,8.9,4.1,46.4,01
01174_0031,こむぎ［パン類］角形食パン焼き,269,9.7,4.5,50.6,01
01175_0032,こむぎ［パン類］角形食パン耳を除いたもの,226,8.2,3.7,42.6,01
01176_0033,こむぎ［パン類］角形食パン耳,273,0,0,0,01
01206_0034,こむぎ［パン類］食パンリーンタイプ,246,0,0,0,01
01207_0035,こむぎ［パン類］食パンリッチタイプ,256,0,0,0,01
01205_0036,こむぎ［パン類］山形食パン食パン,246,0,0,0,01
01028_0037,こむぎ［パン類］コッペパン,273,9.2,3.8,54.7,01
01213_0037-1,こむぎ［パン類］バンズ,274,10.4,4.8,50.6,01
01030_0038,こむぎ［パン類］乾パン,386,9.5,4.4,78.8,01
01031_0039,こむぎ［パン類］フランスパン,289,9.4,1.3,57.5,01
01032_0040,こむぎ［パン類］ライ麦パン,252,8.4,2.2,52.7,01
01208_0041,こむぎ［パン類］全粒粉パン,251,7.9,5.7,45.5,01
01033_0042,こむぎ［パン類］ぶどうパン,263,8.2,3.5,51.1,01
01034_0043,こむぎ［パン類］ロールパン,309,10.1,9,48.6,01
01209_0044,こむぎ［パン類］クロワッサンレギュラータイプ,406,0,0,0,01
01035_0045,こむぎ［パン類］クロワッサンリッチタイプ,438,7.9,26.8,43.9,01
01210_0046,こむぎ［パン類］くるみパン,292,0,0,0,01
01036_0047,こむぎ［パン類］イングリッシュマフィン,224,8.1,3.6,40.8,01
01037_0048,こむぎ［パン類］ナン,257,10.3,3.4,47.6,01
01148_0049,こむぎ［パン類］ベーグル,270,9.6,2,54.6,01
01038_0050,こむぎ［うどん・そうめん類］うどん生,249,6.1,0.6,56.8,01
01039_0051,こむぎ［うどん・そうめん類］うどんゆで,95,2.6,0.4,21.6,01
01186_0052,こむぎ［うどん・そうめん類］うどん半生うどん,296,0,0,0,01
01041_0053,こむぎ［うどん・そうめん類］干しうどん乾,333,8.5,1.1,71.9,01
01042_0054,こむぎ［うどん・そうめん類］干しうどんゆで,117,3.1,0.5,25.8,01
01043_0055,こむぎ［うどん・そうめん類］そうめん・ひやむぎ乾,333,9.5,1.1,72.7,01
01044_0056,こむぎ［うどん・そうめん類］そうめん・ひやむぎゆで,114,3.5,0.4,25.8,01
01045_0057,こむぎ［うどん・そうめん類］手延そうめん・手延ひやむぎ乾,312,9.3,1.5,68.9,01
01046_0058,こむぎ［うどん・そうめん類］手延そうめん・手延ひやむぎゆで,119,3.5,0.6,25.5,01
01047_0059,こむぎ［中華めん類］中華めん生,249,8.6,1.2,55.7,01
01048_0060,こむぎ［中華めん類］中華めんゆで,133,4.9,0.6,29.2,01
01187_0061,こむぎ［中華めん類］半生中華めん,305,0,0,0,01
01049_0062,こむぎ［中華めん類］蒸し中華めん蒸し中華めん,162,4.9,1.7,35.6,01
01188_0063,こむぎ［中華めん類］蒸し中華めんソテー,211,5.2,4.9,38.9,01
01050_0064,こむぎ［中華めん類］干し中華めん乾,337,11.7,1.6,70.2,01
01051_0065,こむぎ［中華めん類］干し中華めんゆで,131,4.9,0.5,27.5,01
01052_0066,こむぎ［中華めん類］沖縄そば生,266,9.2,2,54.2,01
01053_0067,こむぎ［中華めん類］沖縄そばゆで,132,5.2,0.8,28,01
01054_0068,こむぎ［中華めん類］干し沖縄そば乾,317,12,1.7,67.8,01
01055_0069,こむぎ［中華めん類］干し沖縄そばゆで,132,5.2,0.6,28.6,01
01056_0070,こむぎ［即席めん類］即席中華めん油揚げ味付け,424,10.1,16.7,63.5,01
01057_0071,こむぎ［即席めん類］即席中華めん油揚げ乾（添付調味料等を含むもの）,439,10.1,19.1,61.4,01
01198_0072,こむぎ［即席めん類］即席中華めん油揚げ調理後全体（添付調味料等を含むもの）,100,0,0,0,01
01189_0073,こむぎ［即席めん類］即席中華めん油揚げゆで（添付調味料等を含まないもの）,189,3.9,7.7,27.9,01
01144_0074,こむぎ［即席めん類］即席中華めん油揚げ乾（添付調味料等を含まないもの）,453,8.9,19.6,65.5,01
01058_0075,こむぎ［即席めん類］即席中華めん非油揚げ乾（添付調味料等を含むもの）,336,10.3,5.2,67.1,01
01199_0076,こむぎ［即席めん類］即席中華めん非油揚げ調理後全体（添付調味料等を含むもの）,93,0,0,0,01
01190_0077,こむぎ［即席めん類］即席中華めん非油揚げゆで（添付調味料等を含まないもの）,139,3.4,0.8,31,01
01145_0078,こむぎ［即席めん類］即席中華めん非油揚げ乾（添付調味料等を含まないもの）,334,8.5,1.9,75.2,01
01193_0079,こむぎ［即席めん類］中華スタイル即席カップめん油揚げ塩味乾（添付調味料等を含むもの）,422,10.9,18.5,58.6,01
01201_0080,こむぎ［即席めん類］中華スタイル即席カップめん油揚げ塩味調理後全体（添付調味料等を含むもの）,92,0,0,0,01
01194_0081,こむぎ［即席めん類］中華スタイル即席カップめん油揚げ塩味調理後のめん（スープを残したもの）,175,3.8,7.7,25.2,01
01191_0082,こむぎ［即席めん類］中華スタイル即席カップめん油揚げしょうゆ味乾（添付調味料等を含むもの）,417,10,19.1,54.6,01
01200_0083,こむぎ［即席めん類］中華スタイル即席カップめん油揚げしょうゆ味調理後全体（添付調味料等を含むもの）,90,0,0,0,01
01192_0084,こむぎ［即席めん類］中華スタイル即席カップめん油揚げしょうゆ味調理後のめん（スープを残したもの）,142,3,5.8,20.7,01
01060_0085,こむぎ［即席めん類］中華スタイル即席カップめん油揚げ焼きそば乾（添付調味料等を含むもの）,418,8.2,18.6,57.5,01
01202_0086,こむぎ［即席めん類］中華スタイル即席カップめん油揚げ焼きそば調理後全体（添付調味料等を含むもの）,222,0,0,0,01
